target, actual
0.0, 0.0
0.92, 0.0
1.6, 0.0
2.24, 0.0
2.79, 0.0
3.34, 0.0
3.9, 0.0
4.58, 0.0
5.23, 0.0
6.11, 0.0
6.73, 0.0
7.29, 0.0
7.9, 0.0
8.52, 0.0
9.21, 0.0
9.96, 0.0
10.63, 0.0
11.43, 0.0
12.07, 0.0
12.6, 0.0
13.12, 0.0
13.63, 0.0
14.17, 0.0
14.77, 0.0
15.42, 0.0
15.98, 0.0
16.84, 0.0
17.36, 0.0
17.95, 0.0
18.68, 0.0
19.35, 0.0
20.11, 0.0
20.89, 0.0
21.6, 0.0
22.63, 0.0
23.33, 0.0
23.87, 0.0
24.39, 0.0
24.96, 0.0
25.54, 0.0
26.19, 0.6731984257692414
26.82, 0.3365992128846207
27.79, 0.4487989505128276
28.4, 0.1121997376282069
28.97, 0.0
29.57, 0.0
30.19, 0.0
30.9, 0.0
31.6, 0.0
32.23, 0.0
33.13, 0.0
33.73, 0.1121997376282069
34.4, 1.009797638653862
35.03, 0.7853981633974483
35.73, 0.6731984257692414
36.36, 0.8975979010256552
36.96, 0.5609986881410345
37.54, 0.6731984257692414
38.44, 0.4487989505128276
39.01, 0.6731984257692414
39.6, 1.121997376282069
40.27, 0.7853981633974483
40.97, 0.7853981633974483
41.48, 0.8975979010256552
42.04, 0.7853981633974483
42.65, 0.7853981633974483
43.2, 0.6731984257692414
44.03, 0.6731984257692414
44.63, 0.8975979010256552
45.28, 0.7853981633974483
46.07, 0.6731984257692414
46.51, 0.6731984257692414
47.01, 0.8975979010256552
47.57, 0.6731984257692414
48.19, 0.4487989505128276
48.74, 0.5609986881410345
49.5, 1.009797638653862
50.05, 1.2341971139102759
50.72, 1.4585965891666897
51.25, 1.4585965891666897
51.8, 1.5707963267948966
52.44, 1.2341971139102759
53.13, 1.121997376282069
53.97, 1.2341971139102759
54.83, 0.8975979010256552
55.61, 1.2341971139102759
56.28, 1.121997376282069
56.89, 1.121997376282069
57.56, 1.009797638653862
58.13, 1.009797638653862
58.82, 1.009797638653862
59.4, 1.009797638653862
60.33, 1.009797638653862
61.09, 1.009797638653862
61.79, 1.121997376282069
62.38, 1.009797638653862
63.03, 1.009797638653862
63.66, 1.3463968515384828
64.34, 1.3463968515384828
64.97, 1.2341971139102759
65.97, 2.243994752564138
66.55, 2.6927937030769655
67.23, 2.5805939654487586
67.81, 2.4683942278205517
68.5, 2.8049934407051724
69.25, 2.6927937030769655
69.81, 2.8049934407051724
70.66, 2.6927937030769655
71.62, 2.6927937030769655
72.34, 2.4683942278205517
72.96, 2.8049934407051724
73.57, 3.141592653589793
74.24, 3.9269908169872414
74.88, 4.039190554615448
75.76, 4.151390292243655
76.77, 4.263590029871862
77.38, 4.151390292243655
77.93, 4.487989505128276
78.52, 4.375789767500069
79.13, 4.375789767500069
79.81, 4.487989505128276
80.55, 4.487989505128276
81.16, 4.487989505128276
82.13, 4.375789767500069
82.71, 4.263590029871862
83.35, 4.375789767500069
83.99, 4.487989505128276
84.57, 4.600189242756483
85.2, 4.71238898038469
85.83, 4.600189242756483
86.44, 4.600189242756483
87.28, 4.71238898038469
87.91, 4.600189242756483
88.5, 4.600189242756483
89.13, 5.273387668525724
89.75, 5.609986881410345
90.48, 5.609986881410345
91.19, 5.834386356666759
91.86, 5.834386356666759
92.83, 5.722186619038552
93.51, 5.609986881410345
94.16, 5.834386356666759
94.73, 5.834386356666759
95.42, 5.9465860942949655
96.04, 5.9465860942949655
96.61, 6.058785831923172
97.12, 6.283185307179586
97.83, 6.507584782436
98.39, 6.283185307179586
98.9, 6.507584782436
99.47, 6.507584782436
100.15, 6.507584782436
100.94, 6.507584782436
101.61, 6.507584782436
102.21, 6.395385044807793
103.07, 6.619784520064207
103.75, 6.395385044807793
104.36, 6.395385044807793
105.03, 6.619784520064207
105.81, 6.619784520064207
106.31, 6.619784520064207
106.86, 6.731984257692414
107.39, 6.731984257692414
108.15, 6.731984257692414
108.66, 6.956383732948828
109.23, 6.731984257692414
109.81, 6.844183995320621
110.41, 6.731984257692414
111.23, 6.507584782436
111.88, 6.619784520064207
112.42, 6.619784520064207
113.39, 6.844183995320621
114.07, 7.629582158718069
114.78, 7.96618137160269
115.42, 7.741781896346276
116.11, 7.853981633974483
116.63, 7.629582158718069
117.1, 7.629582158718069
117.58, 7.741781896346276
118.08, 7.517382421089862
118.83, 7.517382421089862
119.36, 7.629582158718069
119.94, 7.517382421089862
120.68, 7.517382421089862
121.31, 7.629582158718068
121.89, 7.629582158718069
122.49, 7.96618137160269
123.09, 7.741781896346276
124.07, 7.853981633974483
124.7, 7.629582158718069
125.31, 7.853981633974483
126.03, 7.853981633974483
126.55, 7.853981633974483
127.14, 7.853981633974483
127.76, 7.853981633974483
128.37, 7.741781896346276
129.24, 8.078381109230897
129.98, 8.63937979737193
130.75, 8.975979010256552
131.35, 8.975979010256552
131.99, 8.863779272628346
132.53, 8.527180059743724
133.13, 8.30278058448731
133.73, 8.414980322115518
134.7, 8.527180059743724
135.31, 8.63937979737193
136.08, 8.751579535000138
136.59, 8.527180059743724
137.1, 8.975979010256552
137.57, 9.649177436025793
138.23, 9.761377173654001
138.72, 10.09797638653862
139.27, 9.761377173654001
140.1, 9.985776648910413
140.78, 9.761377173654001
141.4, 9.873576911282207
141.97, 9.985776648910413
142.53, 9.761377173654001
143.15, 9.985776648910413
143.68, 10.09797638653862
144.25, 9.985776648910413
144.76, 9.873576911282207
145.71, 9.312578223141172
146.42, 9.42477796076938
147.03, 9.649177436025793
147.63, 9.649177436025793
148.33, 9.536977698397585
148.83, 9.649177436025793
149.44, 9.761377173654001
150.04, 9.761377173654001
151.22, 9.873576911282207
151.79, 9.985776648910413
152.5, 9.873576911282207
153.09, 9.985776648910413
153.74, 10.658975074679656
154.33, 10.883374549936068
154.96, 11.107774025192484
155.59, 11.107774025192484
156.54, 10.771174812307862
157.22, 10.658975074679654
157.81, 10.771174812307862
158.51, 10.771174812307862
159.16, 10.43457559942324
159.78, 10.658975074679656
160.41, 10.771174812307862
161.17, 10.995574287564274
162.07, 11.893172188589931
162.7, 12.229771401474553
163.35, 12.005371926218139
163.92, 12.229771401474553
164.54, 12.117571663846345
165.12, 12.34197113910276
165.85, 12.229771401474554
166.45, 12.005371926218137
167.35, 11.893172188589933
168.0, 11.893172188589933
168.74, 11.444373238077105
169.36, 11.444373238077105
170.02, 11.668772713333517
170.71, 11.780972450961723
171.3, 12.005371926218139
171.97, 12.117571663846345
172.84, 12.005371926218139
173.51, 12.229771401474553
174.26, 12.229771401474553
174.89, 12.34197113910276
175.61, 12.005371926218139
176.28, 12.117571663846345
176.84, 12.117571663846345
177.48, 12.34197113910276
178.49, 12.341971139102759
179.19, 12.22977140147455
179.72, 12.790770089615588
180.36, 13.015169564872
181.0, 13.015169564872002
181.59, 13.127369302500208
182.18, 13.127369302500208
182.75, 13.239569040128416
183.72, 13.351768777756622
184.29, 13.127369302500208
184.92, 13.239569040128414
185.55, 13.239569040128414
186.25, 12.678570351987378
