command, velocity
0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
-0.0, 0.0
0.21568629145622253, 0.4674989067842065
0.43262410163879395, 2.5589413845029565
0.749687135219574, 5.9680711504365656
0.8498122692108154, 8.639379797371873
1.0, 10.559975306184214
1.0, 12.11247167577234
1.0, 12.09263838881781
1.0, 12.466637514245232
1.0, 12.177776401110254
1.0, 11.930098684518224
1.0, 12.979969647184694
1.0, 12.021400460165019
1.0, 12.678570351987375
1.0, 12.314605349437374
1.0, 12.394157063580959
1.0, 11.863742749212067
1.0, 12.11247167577234
1.0, 12.229771401474565
1.0, 12.13322744118975
1.0, 12.23997137762257
1.0, 12.061471795032297
1.0, 12.002762629994207
1.0, 11.829754945582678
0.6078431606292725, 11.33446329101276
0.3825615346431732, 9.088178747884754
0.3491864800453186, 5.829986366955827
0.34084272384643555, 3.646491472916728
0.34084272384643555, 3.189992540409817
0.34084272384643555, 2.8702258463029775
0.34084272384643555, 2.952624674426474
0.41593658924102783, 3.543149609311806
0.7413433790206909, 5.529844211675895
0.7413433790206909, 7.479982508547146
0.749687135219574, 8.249980707956377
0.749687135219574, 8.682122554563623
0.749687135219574, 8.480212727713349
0.749687135219574, 9.024761504877462
0.749687135219574, 8.757052692933222
0.4075928330421448, 7.184720041104503
0.12390488386154175, 4.022254745162109
-0.0, 0.4674989067842139
0.15727993845939636, 0.18699956271367077
0.41593658924102783, 1.458596589166703
0.43262410163879395, 3.012770732609206
0.43262410163879395, 3.9737407076656517
0.4576554000377655, 3.9779906977273716
0.6579057574272156, 4.808560184066037
0.6996245384216309, 6.1903303519010695
0.7079682946205139, 7.659789780387172
0.7079682946205139, 7.853981633974483
0.7079682946205139, 8.128756501635438
0.7079682946205139, 8.249980707956341
0.1489361673593521, 6.24507973590965
-0.0, 2.181661564992891
